address;postcode;state;country;property_valuation
060 Morning Avenue;2016;New South Wales;Australia;10
6 Meadow Vale Court;2153;New South Wales;Australia;10
0 Holy Cross Court;4211;QLD;Australia;9
17979 Del Mar Point;2448;New South Wales;Australia;4
9 Oakridge Court;3216;VIC;Australia;9
4 Delaware Trail;2210;New South Wales;Australia;9
49 Londonderry Lane;2650;New South Wales;Australia;4
97736 7th Trail;2023;New South Wales;Australia;12
93405 Ludington Park;3044;VIC;Australia;8
44339 Golden Leaf Alley;4557;QLD;Australia;4
2 Sutherland Street;3799;VIC;Australia;6
9 Mcbride Trail;2760;New South Wales;Australia;8
9861 New Castle Avenue;2428;New South Wales;Australia;9
52 Moland Street;3331;VIC;Australia;4
82391 Kensington Lane;3058;VIC;Australia;9
092 2nd Alley;2135;New South Wales;Australia;12
59 Spaight Circle;2233;New South Wales;Australia;9
032 Bartelt Crossing;2444;New South Wales;Australia;8
18 Jenna Center;2650;New South Wales;Australia;7
3 Cordelia Plaza;2153;New South Wales;Australia;10
28 5th Center;4413;QLD;Australia;3
52 Carey Alley;4740;QLD;Australia;5
96 Texas Plaza;3218;VIC;Australia;7
48 Eagan Avenue;4868;QLD;Australia;4
9 Buell Park;4116;QLD;Australia;7
02663 Buell Parkway;2519;New South Wales;Australia;11
2294 Pleasure Place;2135;New South Wales;Australia;12
2951 Petterle Place;2756;New South Wales;Australia;9
63 Lukken Drive;2170;New South Wales;Australia;9
833 Luster Way;4005;QLD;Australia;8
34 Russell Plaza;4127;QLD;Australia;6
78 Del Sol Hill;2535;New South Wales;Australia;8
54 Sage Plaza;4726;QLD;Australia;1
90 Lawn Parkway;4805;QLD;Australia;4
38726 Ilene Crossing;2212;New South Wales;Australia;10
3496 Brown Drive;2207;New South Wales;Australia;8
7188 Cody Way;3350;VIC;Australia;9
1 Claremont Park;3931;VIC;Australia;10
60 Eagan Circle;4018;QLD;Australia;8
89314 Eagle Crest Center;4670;QLD;Australia;2
2028 Lakewood Place;2480;New South Wales;Australia;3
70875 Hudson Point;3212;VIC;Australia;6
543 Killdeer Park;2322;New South Wales;Australia;4
22125 Ramsey Drive;3198;VIC;Australia;9
3107 Calypso Terrace;2210;New South Wales;Australia;9
957 Veith Junction;2047;New South Wales;Australia;10
4853 Gulseth Avenue;4503;QLD;Australia;5
9 Michigan Terrace;2145;New South Wales;Australia;8
62 Steensland Road;4350;QLD;Australia;3
6 Homewood Avenue;2142;New South Wales;Australia;8
15 Almo Lane;2029;New South Wales;Australia;10
690 Glacier Hill Circle;2127;New South Wales;Australia;10
89787 Village Green Terrace;4280;QLD;Australia;6
18 Elgar Park;2166;New South Wales;Australia;9
413 Mayer Street;2046;New South Wales;Australia;9
39 3rd Drive;2026;New South Wales;Australia;10
44516 Katie Parkway;2765;New South Wales;Australia;7
41 Schurz Center;2749;New South Wales;Australia;8
68150 Boyd Road;2745;New South Wales;Australia;9
11474 Westend Hill;3752;VIC;Australia;8
308 Jana Crossing;2153;New South Wales;Australia;10
163 Straubel Trail;2217;New South Wales;Australia;10
68294 Clarendon Crossing;2230;New South Wales;Australia;10
486 Mariners Cove Plaza;3046;VIC;Australia;7
0322 Dryden Court;3183;VIC;Australia;7
9 Bonner Road;2070;New South Wales;Australia;12
07041 Briar Crest Lane;2213;New South Wales;Australia;10
29466 Hanson Pass;4208;QLD;Australia;6
0212 Forest Run Trail;2774;New South Wales;Australia;8
33055 Menomonie Parkway;4133;QLD;Australia;8
4763 Merchant Avenue;2756;New South Wales;Australia;8
439 Ridgeway Court;4213;QLD;Australia;9
2 Clyde Gallagher Lane;4170;QLD;Australia;5
97455 Loeprich Lane;2153;New South Wales;Australia;9
9527 Ridgeway Street;2073;New South Wales;Australia;10
7 Jackson Point;3561;VIC;Australia;1
74 Anniversary Junction;2330;New South Wales;Australia;6
2083 Spaight Court;3977;VIC;Australia;8
2796 Caliangt Circle;2204;New South Wales;Australia;12
96061 Ludington Place;2086;New South Wales;Australia;11
5037 Merchant Crossing;2226;New South Wales;Australia;11
289 Haas Street;2075;New South Wales;Australia;11
4423 Bartelt Parkway;2038;New South Wales;Australia;12
5 Grim Center;2069;New South Wales;Australia;12
73042 Roth Crossing;2100;New South Wales;Australia;11
171 Fordem Junction;2233;New South Wales;Australia;10
2640 Manley Point;2166;New South Wales;Australia;9
3 Hintze Pass;3133;VIC;Australia;10
2 Mcbride Road;3070;VIC;Australia;10
67234 Transport Hill;2777;New South Wales;Australia;7
72 Dorton Crossing;3133;VIC;Australia;10
6 Heffernan Center;2125;New South Wales;Australia;11
6088 Roxbury Hill;2766;New South Wales;Australia;8
105 Shelley Alley;2209;New South Wales;Australia;10
079 Merry Park;2160;New South Wales;Australia;9
8722 Summit Alley;2065;New South Wales;Australia;12
9554 Artisan Pass;2150;New South Wales;Australia;10
55850 Butterfield Road;2168;New South Wales;Australia;9
68 Little Fleur Crossing;2046;New South Wales;Australia;12
85688 New Castle Crossing;4171;QLD;Australia;10
8611 Loomis Lane;2155;New South Wales;Australia;10
7909 Pierstorff Crossing;2517;New South Wales;Australia;9
01 Muir Parkway;2096;New South Wales;Australia;12
0410 Division Junction;2750;New South Wales;Australia;8
41 Service Lane;2217;New South Wales;Australia;11
5 Moose Road;3977;VIC;Australia;8
7342 Fieldstone Junction;2093;New South Wales;Australia;12
0 David Terrace;3204;VIC;Australia;11
15239 Northwestern Point;4300;QLD;Australia;4
60 Oneill Street;2170;New South Wales;Australia;9
8194 Sachtjen Drive;3844;VIC;Australia;1
0349 Farmco Terrace;2168;New South Wales;Australia;8
185 Pennsylvania Way;4226;QLD;Australia;6
432 Longview Circle;3192;VIC;Australia;10
5814 Bunker Hill Street;3070;VIC;Australia;7
7 Carberry Crossing;2485;New South Wales;Australia;2
53 Talisman Trail;2097;New South Wales;Australia;9
5 Prairie Rose Road;4817;QLD;Australia;2
84 Florence Parkway;2516;New South Wales;Australia;8
739 Elmside Way;3074;VIC;Australia;8
684 Northport Circle;2213;New South Wales;Australia;10
8 Hagan Hill;4508;QLD;Australia;4
0 Pearson Crossing;4405;QLD;Australia;1
10918 Merry Way;2452;New South Wales;Australia;5
97 Coolidge Trail;2142;New South Wales;Australia;9
58 Helena Hill;2205;New South Wales;Australia;7
352 Forster Place;4132;QLD;Australia;3
12306 Lawn Street;2145;New South Wales;Australia;8
19392 7th Trail;4744;QLD;Australia;1
1605 Northfield Junction;2158;New South Wales;Australia;11
9674 Graceland Junction;3201;VIC;Australia;6
638 Thackeray Junction;4178;QLD;Australia;3
869 Forster Circle;2112;New South Wales;Australia;10
0 Golden Leaf Crossing;2033;New South Wales;Australia;9
215 Lindbergh Trail;4401;QLD;Australia;1
829 Washington Crossing;3186;VIC;Australia;9
585 Loomis Court;2097;New South Wales;Australia;11
68063 Blue Bill Park Center;3058;VIC;Australia;9
15673 Farmco Point;4017;QLD;Australia;6
22 Oxford Junction;2315;New South Wales;Australia;3
7245 Cottonwood Center;2285;New South Wales;Australia;5
20382 Spohn Alley;2219;New South Wales;Australia;11
12375 Cambridge Pass;2065;New South Wales;Australia;11
