transaction_id;customer_id;Brand_product;transaction_date;online_order;order_status
1;2950;Solex 2;25.02.2017;False;Approved
2;3120;Trek Bicycles 3;21.05.2017;True;Approved
3;402;OHM Cycles 37;16.10.2017;False;Approved
4;3135;Norco Bicycles 88;31.08.2017;False;Approved
5;787;Giant Bicycles 78;01.10.2017;True;Approved
6;2339;Giant Bicycles 25;08.03.2017;True;Approved
7;1542;WeareA2B 22;21.04.2017;True;Approved
8;2459;WeareA2B 15;15.07.2017;False;Approved
9;1305;Solex 67;10.08.2017;False;Approved
10;3262;WeareA2B 12;30.08.2017;True;Approved
11;1986;Trek Bicycles 5;17.01.2017;False;Approved
12;2783;OHM Cycles 61;05.01.2017;True;Approved
13;1243;Trek Bicycles 35;26.02.2017;True;Approved
14;2717;Norco Bicycles 16;10.09.2017;False;Approved
15;247;Giant Bicycles 12;11.06.2017;False;Approved
16;2961;Trek Bicycles 3;10.10.2017;False;Approved
17;2426;Norco Bicycles 79;03.04.2017;False;Approved
18;1842;Giant Bicycles 33;02.06.2017;False;Approved
19;2268;WeareA2B 54;06.04.2017;True;Approved
20;3002;Giant Bicycles 25;28.01.2017;True;Approved
21;1582;Trek Bicycles 27;09.10.2017;False;Approved
22;595;OHM Cycles 37;29.06.2017;True;Approved
23;2001;OHM Cycles 37;08.04.2017;True;Approved
24;515;Giant Bicycles 82;18.10.2017;False;Approved
25;2822;WeareA2B 89;11.06.2017;False;Approved
26;2596;Trek Bicycles 64;10.01.2017;False;Approved
27;2666;Trek Bicycles 64;11.04.2017;True;Approved
28;76;Trek Bicycles 19;23.12.2017;False;Approved
29;3368;Norco Bicycles 72;13.10.2017;True;Approved
30;1173;WeareA2B 91;15.03.2017;False;Approved
31;2810;Norco Bicycles 88;05.09.2017;True;Approved
32;3214;Giant Bicycles 1;18.02.2017;False;Approved
33;1272;Giant Bicycles 25;20.03.2017;False;Approved
34;2003;Trek Bicycles 99;28.02.2017;True;Approved
35;2171;Norco Bicycles 0;20.08.2017;False;Approved
36;3356;WeareA2B 92;07.07.2017;False;Approved
37;1040;Solex 14;09.01.2017;False;Approved
38;2916;Solex 2;06.12.2017;False;Approved
39;427;WeareA2B 12;12.09.2017;False;Approved
40;2448;Norco Bicycles 0;28.11.2017;True;Approved
41;2570;WeareA2B 44;08.05.2017;True;Approved
42;3398;Solex 79;14.05.2017;False;Approved
43;488;WeareA2B 76;17.03.2017;False;Cancelled
44;165;Solex 46;22.12.2017;False;Approved
45;2787;Trek Bicycles 55;07.06.2017;True;Approved
46;3053;Solex 66;20.06.2017;False;Approved
47;475;Trek Bicycles 35;07.05.2017;True;Approved
48;1305;Solex 81;10.06.2017;True;Approved
49;1251;OHM Cycles 86;17.06.2017;False;Approved
50;3103;Giant Bicycles 32;10.05.2017;False;Approved
51;3108;Norco Bicycles 77;24.03.2017;False;Approved
52;857;Giant Bicycles 96;27.11.2017;False;Approved
53;3455;OHM Cycles 6;21.12.2017;True;Approved
54;2549;Trek Bicycles 27;09.02.2017;True;Approved
55;3140;Norco Bicycles 0;18.09.2017;False;Approved
56;3406;Trek Bicycles 47;14.11.2017;False;Approved
57;2294;Giant Bicycles 94;30.08.2017;True;Approved
58;1031;Solex 91;14.11.2017;False;Approved
59;993;OHM Cycles 93;15.02.2017;True;Approved
60;3473;Giant Bicycles 60;18.12.2017;False;Approved
61;1839;OHM Cycles 0;24.02.2017;False;Approved
62;1824;Giant Bicycles 33;18.12.2017;True;Approved
63;368;Giant Bicycles 35;17.12.2017;False;Approved
64;2000;Trek Bicycles 0;08.07.2017;False;Approved
65;825;Norco Bicycles 28;16.05.2017;True;Approved
66;3315;OHM Cycles 86;23.02.2017;True;Approved
67;75;Solex 2;03.07.2017;True;Approved
68;1498;Giant Bicycles 4;30.09.2017;True;Approved
69;1612;Trek Bicycles 38;21.10.2017;True;Approved
70;2192;Trek Bicycles 27;06.05.2017;True;Approved
71;419;WeareA2B 54;03.01.2017;False;Approved
72;3307;WeareA2B 77;09.05.2017;True;Approved
73;2430;WeareA2B 22;23.07.2017;False;Approved
74;1506;OHM Cycles 56;21.01.2017;True;Approved
75;1346;OHM Cycles 58;20.06.2017;False;Approved
76;927;WeareA2B 22;10.03.2017;False;Approved
77;763;WeareA2B 50;02.06.2017;False;Approved
78;2397;OHM Cycles 80;07.11.2017;False;Approved
79;102;Giant Bicycles 87;12.09.2017;True;Approved
80;2884;Norco Bicycles 15;16.12.2017;False;Approved
81;759;Giant Bicycles 84;07.10.2017;True;Approved
82;773;Solex 21;27.04.2017;True;Approved
83;3398;OHM Cycles 0;01.04.2017;True;Approved
84;3297;Giant Bicycles 33;02.11.2017;True;Approved
85;2434;Trek Bicycles 84;13.02.2017;True;Approved
86;1861;Giant Bicycles 1;19.07.2017;False;Approved
87;1233;Trek Bicycles 27;23.05.2017;False;Approved
88;1390;WeareA2B 31;06.08.2017;False;Approved
89;2682;OHM Cycles 0;04.04.2017;True;Approved
90;439;Solex 62;15.08.2017;True;Approved
91;1579;Solex 17;15.04.2017;True;Approved
92;2984;Solex 73;25.07.2017;True;Approved
93;3470;Giant Bicycles 33;28.11.2017;True;Approved
94;1;OHM Cycles 86;23.12.2017;False;Approved
95;757;Solex 45;26.02.2017;False;Approved
96;1778;Giant Bicycles 1;21.02.2017;False;Approved
97;211;OHM Cycles 80;31.05.2017;True;Approved
98;333;Trek Bicycles 49;23.06.2017;;Approved
99;32;Giant Bicycles 95;26.03.2017;False;Approved
100;119;Solex 0;31.07.2017;False;Approved
101;2347;Norco Bicycles 18;27.07.2017;False;Approved
102;2353;Giant Bicycles 4;14.04.2017;False;Approved
103;788;Giant Bicycles 33;12.11.2017;False;Approved
104;1468;Giant Bicycles 78;12.09.2017;False;Approved
105;821;WeareA2B 89;26.10.2017;False;Approved
106;2489;Trek Bicycles 70;15.02.2017;False;Approved
107;2710;Norco Bicycles 79;22.12.2017;False;Approved
108;947;WeareA2B 26;11.10.2017;True;Approved
109;1335;Giant Bicycles 39;27.03.2017;True;Approved
110;1076;Solex 36;04.11.2017;False;Approved
111;3320;OHM Cycles 0;11.06.2017;True;Approved
112;779;Giant Bicycles 84;09.10.2017;False;Approved
113;3296;Trek Bicycles 98;07.06.2017;True;Approved
114;455;Giant Bicycles 75;24.10.2017;True;Approved
115;1779;WeareA2B 76;01.05.2017;False;Approved
116;2703;Norco Bicycles 72;21.11.2017;True;Approved
117;806;OHM Cycles 42;24.03.2017;False;Approved
118;22;Trek Bicycles 20;21.03.2017;False;Approved
119;1591;Trek Bicycles 64;20.02.2017;False;Approved
120;678;Trek Bicycles 0;16.06.2017;False;Approved
121;50;Giant Bicycles 25;04.12.2017;False;Approved
122;1038;Solex 24;01.12.2017;True;Approved
123;1453;WeareA2B 31;05.03.2017;True;Approved
124;1339;OHM Cycles 98;21.03.2017;False;Approved
125;3382;Solex 22;03.01.2017;True;Approved
126;773;OHM Cycles 53;01.04.2017;False;Approved
127;2503;Trek Bicycles 84;16.03.2017;True;Approved
128;1057;Giant Bicycles 25;26.02.2017;False;Approved
129;1397;WeareA2B 50;05.06.2017;False;Approved
130;2134;WeareA2B 44;04.09.2017;False;Approved
131;2403;WeareA2B 96;18.01.2017;True;Approved
132;1937;WeareA2B 12;28.09.2017;False;Approved
133;1282;WeareA2B 93;02.09.2017;True;Approved
134;2183;Giant Bicycles 78;09.05.2017;False;Approved
135;1788;Giant Bicycles 84;17.10.2017;False;Approved
136;1170;WeareA2B 65;25.04.2017;True;Approved
137;431; 0;23.09.2017;False;Approved
138;1940;WeareA2B 29;02.08.2017;False;Approved
139;2073;Giant Bicycles 32;25.03.2017;False;Cancelled
140;462;Giant Bicycles 11;01.01.2017;False;Approved
141;2728;Solex 10;22.12.2017;False;Approved
142;2053;Solex 46;25.12.2017;False;Approved
143;2135;Giant Bicycles 60;26.01.2017;True;Approved
144;1217;WeareA2B 92;20.12.2017;False;Approved
145;2992;Trek Bicycles 7;07.06.2017;True;Approved
146;3261;Solex 41;06.04.2017;True;Approved
147;2748;Norco Bicycles 67;25.04.2017;True;Approved
148;3262;Trek Bicycles 14;13.01.2017;False;Approved
149;788;WeareA2B 89;21.03.2017;False;Approved
150;3067;OHM Cycles 9;21.11.2017;True;Approved
151;701;Giant Bicycles 31;11.11.2017;False;Approved
152;648;WeareA2B 92;16.10.2017;False;Approved
153;3286;OHM Cycles 37;19.08.2017;True;Approved
154;3383;Trek Bicycles 3;06.04.2017;True;Approved
155;982;Norco Bicycles 56;04.11.2017;True;Approved
156;676;Solex 14;22.08.2017;True;Approved
157;385;Solex 6;15.09.2017;True;Approved
158;1229;WeareA2B 50;01.03.2017;True;Approved
159;3232;WeareA2B 10;16.08.2017;False;Approved
160;3300; 0;27.08.2017;False;Approved
161;2381;Giant Bicycles 69;10.07.2017;False;Approved
162;371;Giant Bicycles 78;11.12.2017;False;Approved
163;2519;OHM Cycles 80;20.05.2017;True;Approved
164;2264;Solex 17;30.07.2017;False;Approved
165;2637;Trek Bicycles 3;25.10.2017;True;Approved
166;3262;Giant Bicycles 78;27.11.2017;False;Approved
167;3177;Norco Bicycles 90;26.04.2017;;Approved
168;2267;Giant Bicycles 87;02.02.2017;False;Approved
169;456;Solex 97;02.05.2017;False;Approved
170;404;OHM Cycles 6;16.10.2017;;Approved
171;3121;Norco Bicycles 100;22.10.2017;False;Approved
172;2365;Trek Bicycles 55;11.04.2017;True;Approved
173;2528;Norco Bicycles 100;16.11.2017;False;Approved
174;3151;WeareA2B 10;17.12.2017;False;Approved
175;3241;Giant Bicycles 25;23.12.2017;False;Approved
176;1335;WeareA2B 74;30.03.2017;True;Approved
177;2234;Norco Bicycles 90;13.04.2017;False;Approved
178;3226;OHM Cycles 56;25.07.2017;True;Approved
179;1365;Solex 62;31.01.2017;False;Approved
180;3349;Trek Bicycles 20;18.03.2017;True;Approved
181;1002;Solex 17;24.02.2017;False;Approved
182;2282;Norco Bicycles 16;18.02.2017;False;Approved
183;2656;Solex 46;07.01.2017;False;Approved
184;2409;Solex 71;05.07.2017;True;Approved
185;1711;WeareA2B 91;19.11.2017;False;Approved
186;2582;Solex 17;08.11.2017;True;Approved
